those doctors smile .	those doctors like .
that king talked .	that king confused .
those children might laugh .	those children might bother .
the dentist laughed .	the dentist bothered .
these doctors whisper .	these doctors praise .
the queen was smiling .	the queen was bothering .
those men should lie .	those men should bother .
those ladies can n't whisper .	those ladies can n't praise .
these girls cough .	these girls scare .
these women cough .	these women hate .
the king could n't sneeze .	the king could n't bother .
that man would talk .	that man would hate .
those ladies are n't yelling .	those ladies are n't bothering .
those teachers wo n't whisper .	those teachers wo n't hate .
that dancer can n't yell .	that dancer can n't hate .
this customer had talked .	this customer had bothered .
those men would whisper .	those men would praise .
these guys are n't whispering .	these guys are n't bothering .
those girls might smile .	those girls might praise .
the lady might talk .	the lady might bother .
that woman does n't yell .	that woman does n't like .
these girls sneeze .	these girls like .
that patient would sneeze .	that patient would scare .
these women cough .	these women appreciate .
the driver should n't yell .	the driver should n't praise .
that dancer yelled .	that dancer bothered .
the children laughed .	the children scared .
that queen will cough .	that queen will bother .
this teacher could n't talk .	this teacher could n't like .
those guys laughed .	those guys liked .
these girls yell .	these girls praise .
the woman yelled .	the woman bothered .
these people talk .	these people scare .
these guys yell .	these guys like .
those teachers talk .	those teachers like .
these doctors laugh .	these doctors scare .
that driver could n't whisper .	that driver could n't praise .
the adult would laugh .	the adult would hate .
those girls laugh .	those girls appreciate .
that lady does n't scream .	that lady does n't appreciate .
that driver talked .	that driver liked .
those boys talk .	those boys hate .
the doctor had n't laughed .	the doctor had n't liked .
that woman was yelling .	that woman was bothering .
these women are talking .	these women are bothering .
the guy wo n't yell .	the guy wo n't appreciate .
this boy should whisper .	this boy should scare .
these women wo n't smile .	these women wo n't like .
these doctors had n't yelled .	these doctors had n't confused .
this person does n't talk .	this person does n't appreciate .
the man laughed .	the man bothered .
the women might sneeze .	the women might praise .
the person must yell .	the person must hate .
the king may yell .	the king may hate .
the children would talk .	the children would appreciate .
those teachers talked .	those teachers liked .
these teachers should whisper .	these teachers should praise .
the guy had laughed .	the guy had bothered .
this person laughed .	this person scared .
that person can talk .	that person can praise .
this boy would whisper .	this boy would bother .
that person would cough .	that person would hate .
these girls whisper .	these girls like .
the girl might yell .	the girl might like .
this king wo n't whisper .	this king wo n't scare .
these teachers lie .	these teachers praise .
this lady is yelling .	this lady is bothering .
that boy may yell .	that boy may like .
that driver should talk .	that driver should praise .
the people had laughed .	the people had confused .
the men smile .	the men hate .
the patient laughed .	the patient liked .
those boys lie .	those boys appreciate .
that dentist is whispering .	that dentist is bothering .
these children yell .	these children like .
that dentist must lie .	that dentist must hate .
those guys scream .	those guys scare .
these doctors had yelled .	these doctors had liked .
those boys yell .	those boys bother .
those doctors should n't sneeze .	those doctors should n't hate .
that dancer should whisper .	that dancer should hate .
this child must sneeze .	this child must hate .
these ladies had n't talked .	these ladies had n't liked .
the woman had talked .	the woman had liked .
the doctors have laughed .	the doctors have confused .
this woman wo n't scream .	this woman wo n't bother .
those men do n't smile .	those men do n't praise .
the man has n't yelled .	the man has n't bothered .
that guy wo n't whisper .	that guy wo n't scare .
the doctors sneeze .	the doctors scare .
that queen may talk .	that queen may appreciate .
this queen talked .	this queen bothered .
that queen can n't sneeze .	that queen can n't hate .
that lady had laughed .	that lady had confused .
that boy talks .	that boy likes .
the girls laugh .	the girls praise .
this guy had yelled .	this guy had scared .
the teachers could n't smile .	the teachers could n't scare .
these guys had n't laughed .	these guys had n't bothered .
that child might laugh .	that child might scare .
the doctors could n't cough .	the doctors could n't bother .
the women wo n't whisper .	the women wo n't scare .
this patient appears .	this patient scares .
the driver will talk .	the driver will bother .
this driver may lie .	this driver may like .
these teachers will yell .	these teachers will hate .
