the glass sitting on the couch on the couch by the shirt in the kitchen is smart .	the glass sits on the couch on the couch by the shirt in the kitchen is smart .
the bicycle sitting by the bicycle by the boat on the couch is angry .	the bicycle sits by the bicycle by the boat on the couch is angry .
the ring sitting on the bed on the stool on the chair in the hospital on the floor by the hat is gentle .	the ring sits on the bed on the stool on the chair in the hospital on the floor by the hat is gentle .
the bowl sitting by the ship on the chair on the table on the floor is helpful .	the bowl sits by the ship on the chair on the table on the floor is helpful .
the couch sitting in the library in the school in the kitchen on the chair by the ship on the bed is helpful .	the couch sits in the library in the school in the kitchen on the chair by the ship on the bed is helpful .
the crayon sitting in the bank on the bed on the street by the bowl is angry .	the crayon sits in the bank on the bed on the street by the bowl is angry .
the crayon sitting in the room by the plate on the couch is kind .	the crayon sits in the room by the plate on the couch is kind .
the mirror sitting by the crayon by the hat by the shirt by the truck in the mall in the school is lucky .	the mirror sits by the crayon by the hat by the shirt by the truck in the mall in the school is lucky .
the plane sitting by the bicycle in the restaurant in the mall on the table in the school by the crayon is bored .	the plane sits by the bicycle in the restaurant in the mall on the table in the school by the crayon is bored .
the crayon sitting in the library on the stool on the couch in the mall is kind .	the crayon sits in the library on the stool on the couch in the mall is kind .
the rug sitting in the hospital in the bank in the museum on the couch by the dish is young .	the rug sits in the hospital in the bank in the museum on the couch by the dish is young .
the box sitting on the bed by the glass by the glass by the plane is lucky .	the box sits on the bed by the glass by the glass by the plane is lucky .
the shirt sitting in the park in the school in the restaurant in the mall in the library is busy .	the shirt sits in the park in the school in the restaurant in the mall in the library is busy .
the doll sitting by the ship on the table by the button in the mall by the dish is tall .	the doll sits by the ship on the table by the button in the mall by the dish is tall .
the rug sitting on the bed in the mall by the door on the bed on the couch is upset .	the rug sits on the bed in the mall by the door on the bed on the couch is upset .
the toy sitting by the fork in the kitchen in the school on the floor by the bottle is boring .	the toy sits by the fork in the kitchen in the school on the floor by the bottle is boring .
the shirt sitting in the bank by the dish by the door is nice .	the shirt sits in the bank by the dish by the door is nice .
the toy sitting on the chair by the bed in the kitchen on the floor is strong .	the toy sits on the chair by the bed in the kitchen on the floor is strong .
the shoe sitting on the ground in the museum on the table by the door by the chair is curious .	the shoe sits on the ground in the museum on the table by the door by the chair is curious .
the book sitting on the table on the stool in the museum on the chair is excited .	the book sits on the table on the stool in the museum on the chair is excited .
the picture sitting on the street in the park by the bed in the restaurant is nice .	the picture sits on the street in the park by the bed in the restaurant is nice .
the button sitting on the ground on the street by the window in the museum by the bed is confused .	the button sits on the ground on the street by the window in the museum by the bed is confused .
the candle sitting on the street in the restaurant in the library in the restaurant on the ground on the stool is smart .	the candle sits on the street in the restaurant in the library in the restaurant on the ground on the stool is smart .
